Sample in Buffer,Sample in Window,TRIGGER,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rstn,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_heartbeat[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_refcount[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reservation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_inflight[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_fill_pending[3:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_generation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_exp_generation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_slot[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_phys[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_req,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_grant,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_refused,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_stale,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_payload_mm,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_evictable,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_outstanding[1:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_ar_wait[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rd_latency[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rd_latency_max[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_sticky[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
30,30,0,1,31b5,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
31,31,0,1,31b6,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
32,32,0,1,31b7,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
33,33,0,1,31b8,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
34,34,0,1,31b9,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
35,35,0,1,31ba,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
36,36,0,1,31bb,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
37,37,0,1,31bc,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
38,38,0,1,31bd,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
39,39,0,1,31be,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
40,40,0,1,31bf,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
41,41,0,1,31c0,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
42,42,0,1,31c1,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
43,43,0,1,31c2,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
44,44,0,1,31c3,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
45,45,0,1,31c4,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
46,46,0,1,31c5,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
47,47,0,1,31c6,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
48,48,0,1,31c7,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
49,49,0,1,31c8,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
50,50,0,1,31c9,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
51,51,0,1,31ca,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
52,52,0,1,31cb,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
53,53,0,1,31cc,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
54,54,0,1,31cd,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
