Sample in Buffer,Sample in Window,TRIGGER,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rstn,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_heartbeat[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_refcount[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reservation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_inflight[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_fill_pending[3:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_generation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_exp_generation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_slot[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_phys[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_req,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_grant,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_refused,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_stale,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_payload_mm,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_evictable,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_outstanding[1:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_ar_wait[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rd_latency[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rd_latency_max[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_sticky[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
102,102,0,1,114e,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
103,103,0,1,114f,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
104,104,0,1,1150,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
105,105,0,1,1151,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
106,106,0,1,1152,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
107,107,0,1,1153,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
108,108,0,1,1154,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
109,109,0,1,1155,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
110,110,0,1,1156,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
111,111,0,1,1157,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
112,112,0,1,1158,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
113,113,0,1,1159,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
114,114,0,1,115a,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
115,115,0,1,115b,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
116,116,0,1,115c,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
117,117,0,1,115d,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
118,118,0,1,115e,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
119,119,0,1,115f,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
120,120,0,1,1160,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
121,121,0,1,1161,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
122,122,0,1,1162,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
123,123,0,1,1163,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
124,124,0,1,1164,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
125,125,0,1,1165,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
126,126,0,1,1166,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
127,127,0,1,1167,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
128,128,0,1,1168,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
129,129,0,1,1169,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
130,130,0,1,116a,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
131,131,0,1,116b,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
132,132,0,1,116c,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
133,133,0,1,116d,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
134,134,0,1,116e,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
135,135,0,1,116f,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
136,136,0,1,1170,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
137,137,0,1,1171,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
138,138,0,1,1172,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
139,139,0,1,1173,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
140,140,0,1,1174,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
141,141,0,1,1175,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
142,142,0,1,1176,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
143,143,0,1,1177,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
144,144,0,1,1178,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
145,145,0,1,1179,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
146,146,0,1,117a,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
147,147,0,1,117b,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
148,148,0,1,117c,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
149,149,0,1,117d,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
150,150,0,1,117e,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
151,151,0,1,117f,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
152,152,0,1,1180,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
153,153,0,1,1181,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
154,154,0,1,1182,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
155,155,0,1,1183,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
156,156,0,1,1184,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
157,157,0,1,1185,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
158,158,0,1,1186,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
159,159,0,1,1187,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
160,160,0,1,1188,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
161,161,0,1,1189,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
162,162,0,1,118a,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
163,163,0,1,118b,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
164,164,0,1,118c,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
165,165,0,1,118d,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
166,166,0,1,118e,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
167,167,0,1,118f,00,00,05,0,00,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,01
